Atoms
#/num	/group	/type	/posX	/posY	/posZ
1 	   1   	  1	    0 	    0 	    0
2 	   1     	1	    8.886 	0 	    0
3 	   1    	1	    0	      8.886 	0
4 	   1     	1	    8.886 	8.886 	0
5 	   1  	  1	    0 	    0 	    12.668
6 	   1   	  1	    8.886 	0 	    12.668
7 	   1 	    1	    0.0 	  8.886 	12.668
8 	   1   	  1	    8.886 	8.886 	12.668
9 	   1 	    2	    4.443  	4.443 	0
10 	   1 	    2	    4.443 	0 	    6.334
11 	   1 	    2	    0 	    4.443 	6.334
12 	   1 	    2	    4.443 	8.886 	6.334
13 	   1 	    2	    8.886	  4.443 	6.334
14 	   1 	    2	    4.443 	4.443 	12.668
15 	   1 	    3	    4.443 	4.443 	6.334
